1,$\bar{1}$,2,$m$,$2/m$,222,$mm2$,$mmm$,$\bar{4}$,4,$\bar{4}2m$,422,$4/m$,$4mm$,$4/mmm$,3,$\bar{3}$,32,$3m$,$\bar{3}m$,$\bar{6}$,$\bar{6}m2$,6,622,$6/m$,$6mm$,$6/mmm$,23,432,$m\bar{3}$,$\bar{4}3m$,$m\bar{3}m$,$\infty$
 d24555,0,0, d24555,0,0,0,0,0,0,0,0,0,0,0,                                                                                    d14444/2 - d14455/2,0,                                                                                    d14444/2 - d14455/2,0,0,                                                       d14444/2 - d14455/2,0,0,0,0,0,0,0,0,0,0,0,0
 d24556,0, d24556,0,0, d24556,0,0,  d14456, -d14456, d14456, -d14456,0,0,0,                                                                         d11444/3 - d11455/2 - d12444/6,0,                                                                         d11444/3 - d11455/2 - d12444/6,0,0,0,0,                                                                         d11444/3 - d11455/2 - d12444/6,                                                                         d11444/3 - d11455/2 - d12444/6,0,0,0, d14456,0,0, d14456,0,0
 d24566,0,0, d24566,0,0,0,0,0,0,0,0,0,0,0,                                                                         d11144/4 + d11255/2 + d12244/4,0,                                                                         d11144/4 + d11255/2 + d12244/4,0,0,                                            d11144/4 + d11255/2 + d12244/4,0,0,0,0,0,0,0,0,0,0,0,0
 d24666,0, d24666,0,0, d24666,0,0,  d15666, -d15666, d15666, -d15666,0,0,0,                                d11114/4 + d11124/8 + d11156/2 + (3*d11256)/2 + d11466/2 - (3*d12224)/8,0,                                d11114/4 + d11124/8 + d11156/2 + (3*d11256)/2 + d11466/2 - (3*d12224)/8,0,0,0,0,                                d11114/4 + d11124/8 + d11156/2 + (3*d11256)/2 + d11466/2 - (3*d12224)/8,                                d11114/4 + d11124/8 + d11156/2 + (3*d11256)/2 + d11466/2 - (3*d12224)/8,0,0,0, d15556,  d15556,0, d15556,0,0
 d25555,0, d25555,0,0,0,0,0,0,0,0,0,0,0,0,                                                                                (3*d14445)/2 + d14555/2,0,0,                                                                                (3*d14445)/2 + d14555/2,0,                                                   (3*d14445)/2 + d14555/2,                                                 (3*d14445)/2 + d14555/2,0,0,0,0,0,0,0,0,0,0,0
 d25556,0,0, d25556,0,0, d25556,0, -d14446,  d14446,0,0,0, d14446,0,                                                                                d11555/2 - (3*d12445)/2,0,0,                                                                                d11555/2 - (3*d12445)/2,0,0,0,                                                                                d11555/2 - (3*d12445)/2,0,0,                                                                                d11555/2 - (3*d12445)/2,0,0,0,0,0,0,0
 d25566,0, d25566,0,0,0,0,0,0,0,0,0,0,0,0,                                                              d11556/2 - d11245/2 + d12245/2 - d12446/2,0,0,                                                              d11556/2 - d11245/2 + d12245/2 - d12446/2,0,                                 d11556/2 - d11245/2 + d12245/2 - d12446/2,                               d11556/2 - d11245/2 + d12245/2 - d12446/2,0,0,0,0,0,0,0,0,0,0,0
 d25666,0,0, d25666,0,0, d25666,0, -d14666,  d14666,0,0,0, d14666,0,                                d11115/4 + d11125/8 - d11146/2 - (3*d11246)/2 + d11566/2 - (3*d12225)/8,0,0,                                d11115/4 + d11125/8 - d11146/2 - (3*d11246)/2 + d11566/2 - (3*d12225)/8,0,0,0,                                d11115/4 + d11125/8 - d11146/2 - (3*d11246)/2 + d11566/2 - (3*d12225)/8,0,0,                                d11115/4 + d11125/8 - d11146/2 - (3*d11246)/2 + d11566/2 - (3*d12225)/8,0,0,0,0,0,0,0
 d26666,0, d26666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 d31111,0,0, d31111,0,0, d31111,0,  d31111,  d31111,0,0,0, d31111,0,                                                                                                 d31111,0,0,                                                                                                 d31111,0,0,0,                                                                                                 d31111,0,0,                                                                                                 d31111,0,0,0,0,0,0,0
 d31112,0,0, d31112,0,0, d31112,0,  d31112,  d31112,0,0,0, d31112,0,                                                                                                 d31112,0,0,                                                                                                 d31112,0,0,0,                                                                                                 d31112,0,0,                                                                                                 d31112,0,0,0,0,0,0,0
 d31113,0,0, d31113,0,0, d31113,0,  d31113,  d31113,0,0,0, d31113,0,                                                                                                 d31113,0,0,                                                                                                 d31113,0,0,0,                                                                                                 d31113,0,0,                                                                                                 d31113,0,0,0,0,0,0,0
 d31114,0, d31114,0,0,0,0,0,0,0,0,0,0,0,0,                                                                                                 d31114,0,0,                                                                                                 d31114,0,                                                                    d31114,                                                                  d31114,0,0,0,0,0,0,0,0,0,0,0
 d31115,0,0, d31115,0,0,0,0,0,0,0,0,0,0,0,                                                                                                 d31115,0,                                                                                                 d31115,0,0,                                                                    d31115,0,0,0,0,0,0,0,0,0,0,0,0
 d31116,0, d31116,0,0, d31116,0,0,  d31116,  d31116, d31116,  d31116,0,0,0,                                                                                                 d31116,0,                                                                                                 d31116,0,0,0,0,                                                                                                 d31116,                                                                                                 d31116,0,0,0, d12224,  d12224,0, d12224,0,0
 d31122,0,0, d31122,0,0, d31122,0,0,  d31122,0,0,0, d31122,0,                                                                                                 d31122,0,0,                                                                                                 d31122,0,0,0,                                                                                                 d31122,0,0,                                                                                                 d31122,0,0,0,0,0,0,0
 d31123,0,0, d31123,0,0, d31123,0,  d31123,  d31123,0,0,0, d31123,0,                                                                                                 d31123,0,0,                                                                                                 d31123,0,0,0,                                                                                                 d31123,0,0,                                                                                                 d31123,0,0,0,0,0,0,0
 d31124,0, d31124,0,0,0,0,0,0,0,0,0,0,0,0,                                                                                                 d31124,0,0,                                                                                                 d31124,0,                                                                    d31124,                                                                  d31124,0,0,0,0,0,0,0,0,0,0,0
